%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
48.0, -104695.6604356361, -107089.93459819969, -114006.88308559456, -116988.69520291034, -118021.70342465681, -110176.50934177749, -116375.43039029007, -114698.08843113047, -117896.66776617382, -113554.3496673524, -111838.09332109611, -113742.05961728808, -117679.98995542407, -118892.90736829131, -112000.25522711936, 0.0, 0.0, 0.0, 0.0, 196.0, 20.0, 96.0, 0.0, 5.0, 80.0, 80.0, 0.0, 0.0, 0.0, 1.719437324139483E9, 0.0, 2024-06-26 16:28:44.139
50.0, -104280.02974748967, -106681.0317851343, -113596.72857483967, -116579.74768635604, -117615.32635871487, -109769.61818571309, -115969.00862085923, -114291.17492332161, -117553.41202657367, -113220.72752961249, -111498.83854375346, -113408.03514814796, -117344.62438161664, -118552.26678279243, -111665.1131707565, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 88.0, 0.0, 0.0, 0.0, 1.719437324147418E9, 0.0, 2024-06-26 16:28:44.147
52.0, -104371.26956835623, -106774.5514839353, -113679.31827060203, -116654.9836581926, -117688.23774912808, -109845.01061976084, -116049.38549392052, -114373.40699117268, -117274.48460751589, -112941.77775881026, -111223.86738346427, -113135.23210707094, -117062.70182880186, -118273.80875036822, -111382.16243769675, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 96.0, 0.0, 0.0, 0.0, 1.719437324155429E9, 0.0, 2024-06-26 16:28:44.155
54.0, -107696.00214910533, -110135.60564942428, -116999.64755769343, -119929.40246217282, -120987.13171328686, -113141.44589202951, -119378.40960960503, -117706.4320691147, -118732.10891867983, -114376.82680807434, -112631.60260100396, -114497.59328336637, -118517.91215156463, -119740.0608348919, -112833.34944645756, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 104.0, 0.0, 0.0, 0.0, 1.719437324163447E9, 0.0, 2024-06-26 16:28:44.163
56.0, -109257.40560977526, -111666.56603414608, -118564.04615212038, -121528.78153667231, -122569.97049688942, -114723.59177155397, -120934.56041032796, -119259.58773608062, -121977.13517870131, -117623.86472509679, -115899.02530896966, -117773.30848852498, -121766.44763546559, -122983.05308616794, -116084.38832573753, 0.0, 0.0, 0.0, 0.0, 196.0, 125.0, 16.0, 0.0, 5.0, 80.0, 112.0, 0.0, 0.0, 0.0, 1.719437324171479E9, 0.0, 2024-06-26 16:28:44.171
58.0, -109914.23397233892, -112322.38856820925, -119231.87157295604, -122206.73229774623, -123247.7424440077, -115400.46964889404, -121603.32460443076, -119926.92141853827, -122901.1115909948, -118558.99465787348, -116830.31074170003, -118717.2226568726, -122692.77098092687, -123907.70005079509, -117011.80690667713, 0.0, 0.0, 0.0, 0.0, 196.0, 20.5, 48.0, 0.0, 5.0, 80.0, 120.0, 0.0, 0.0, 0.0, 1.719437324179472E9, 0.0, 2024-06-26 16:28:44.179
60.0, -108383.20653238375, -110766.70715411988, -117696.46319108763, -120696.62609060123, -121721.8782570217, -113876.48300844229, -120061.41186492586, -118381.90178655408, -122294.12761856648, -117969.4450461203, -116259.35778133366, -118183.28418532423, -122084.4682555757, -123290.59073812852, -116407.37103311671, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 128.0, 0.0, 0.0, 0.0, 1.719437324186488E9, 0.0, 2024-06-26 16:28:44.186
62.0, -106428.32296232259, -108818.6855696065, -115752.93430720977, -118756.67348583622, -119782.39503889026, -111937.69269438896, -118120.98987352729, -116440.25044921046, -120487.50316947738, -116169.50376862333, -114458.45537882512, -116395.94929170005, -120275.1839488964, -121481.32878319369, -114599.87486599384, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 136.0, 0.0, 0.0, 0.0, 1.719437324195564E9, 0.0, 2024-06-26 16:28:44.195
64.0, -105836.31465867933, -108228.73362645312, -115149.28074470529, -118138.02190280223, -119166.22449949081, -111323.19853582366, -117515.95050286657, -115837.51330822866, -119105.02542317218, -114778.06297279155, -113057.47038811093, -114977.23936763279, -118892.72855433567, -120101.89087413442, -113214.20082023155, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 144.0, 0.0, 0.0, 0.0, 1.719437324203591E9, 0.0, 2024-06-26 16:28:44.203
66.0, -105102.7080539117, -107497.8762862535, -114425.53125924246, -117421.42497556508, -118450.6557524986, -110606.53455335315, -116793.87739823788, -115114.68024428848, -118837.76561472006, -114508.41152768274, -112789.76354476971, -114707.0738324015, -118626.07224298385, -119836.30744651645, -112948.01389551329, 0.0, 0.0, 0.0, 0.0, 196.0, 124.5, 96.0, 0.0, 5.0, 80.0, 152.0, 0.0, 0.0, 0.0, 1.719437324210541E9, 0.0, 2024-06-26 16:28:44.210
68.0, -105712.68716009703, -108117.51134604351, -115019.93119954244, -117991.03683126412, -119026.36963443396, -111183.5448364669, -117388.70202168252, -115712.70116719023, -118219.09167994163, -113884.50728470174, -112154.39285688316, -114056.92864142999, -118006.77245936067, -119220.56159026166, -112326.45658570011, 0.0, 0.0, 0.0, 0.0, 196.0, 20.5, 8.0, 0.0, 5.0, 80.0, 160.0, 0.0, 0.0, 0.0, 1.719437324218634E9, 0.0, 2024-06-26 16:28:44.218
70.0, -106369.7613918497, -108780.41938309901, -115685.78966686604, -118657.52114743248, -119695.78202912594, -111852.13021661404, -118057.55562276312, -116382.15826537112, -119108.44524007384, -114768.63053663142, -113046.27216413882, -114948.62913473, -118893.46616190269, -120107.27764454814, -113213.39615743115, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 5.0, 80.0, 168.0, 0.0, 0.0, 0.0, 1.719437324227578E9, 0.0, 2024-06-26 16:28:44.227
