%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
40.0, -94202.96927725904, -96935.04535377567, -104181.05622304157, -106870.66398509312, -107816.9027348641, -100201.28341928523, -106300.2921700826, -104577.46441095644, -107494.54587632965, -103382.0484139977, -101607.20814552405, -103468.28144410628, -107358.2896421301, -108645.77247450025, -101562.68347056907, -102363.92645405847, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 101.0, 0.0, 0.0, 0.0, 1.7194376692356E9, 0.0, 2024-06-26 16:34:29.235
42.0, -94203.52807087041, -96933.61484213053, -104178.48577242921, -106869.05465949234, -107813.1476417956, -100198.35534076158, -106296.35826305846, -104574.71514638844, -107486.20867564782, -103373.28653017123, -101597.35102621926, -103454.40101079954, -107350.55593854857, -108636.7423697403, -101555.64267106565, -102352.99645101982, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 109.0, 0.0, 0.0, 0.0, 1.719437669243657E9, 0.0, 2024-06-26 16:34:29.243
44.0, -94198.8342045348, -96932.72077235232, -104178.93280731831, -106868.65232809214, -107814.89107786311, -100199.38352100653, -106297.43114679231, -104575.58686442219, -107490.79078326117, -103379.7461843188, -101604.52593618941, -103465.75569698283, -107355.56272930655, -108643.4478930769, -101559.80009553435, -102361.17718949047, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 117.0, 0.0, 0.0, 0.0, 1.719437669251665E9, 0.0, 2024-06-26 16:34:29.251
46.0, -94182.3833206157, -96910.19021394137, -104157.47513264122, -106848.13342668218, -107791.82407758523, -100177.50116318479, -106274.587663959, -104553.63745136709, -107481.31364361211, -103365.10579170058, -101590.42198543811, -103446.667307218, -107344.34215358998, -108629.43334930342, -101548.82538900679, -102345.88859628304, 0.0, 0.0, 0.0, 196.0, 126.5, 0.0, 0.0, 10.0, 148.0, 125.0, 0.0, 0.0, 0.0, 1.719437669259687E9, 0.0, 2024-06-26 16:34:29.259
48.0, -94175.52133506791, -96907.73152205128, -104153.56357736154, -106843.50661557993, -107789.65595837307, -100174.12604977204, -106271.6819371798, -104550.66466935452, -107460.32535556858, -103349.5489775597, -101574.52989513038, -103437.83836815815, -107325.38787429189, -108612.87070666203, -101528.57470853027, -102331.78464553173, 0.0, 0.0, 0.0, 196.0, 17.0, 200.0, 0.0, 10.0, 148.0, 133.0, 0.0, 0.0, 0.0, 1.719437669267767E9, 0.0, 2024-06-26 16:34:29.267
50.0, -94164.54662854035, -96897.60618181303, -104141.8289115225, -106832.46485381901, -107777.56366462275, -100162.12316299953, -106258.89673935137, -104538.61707909312, -107458.85014043453, -103348.16316940346, -101570.90891252863, -103427.73537966436, -107326.10313011445, -108612.06604386165, -101531.74865624293, -102328.61069781908, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 141.0, 0.0, 0.0, 0.0, 1.719437669274787E9, 0.0, 2024-06-26 16:34:29.274
52.0, -94159.8751139492, -96891.66061778791, -104139.43727486579, -106829.49207180645, -107775.30613843276, -100159.37389843153, -106255.78984687208, -104535.66664882502, -107448.83655891856, -103339.9377274439, -101564.71747931451, -103428.00360059782, -107313.85437415296, -108601.9854071123, -101518.09174038074, -102321.63695354902, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 149.0, 0.0, 0.0, 0.0, 1.719437669283726E9, 0.0, 2024-06-26 16:34:29.283
54.0, -94151.62732024518, -96882.7199200058, -104130.25070789465, -106818.89734493464, -107765.06903947223, -100149.136799471, -106245.1280647669, -104525.16132893102, -107441.08050359256, -103328.58304126062, -101551.4181913636, -103407.59645791013, -107306.6794641828, -108591.74830815177, -101511.54267925533, -102308.60588653159, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 10.0, 148.0, 157.0, 0.0, 0.0, 0.0, 1.719437669291746E9, 0.0, 2024-06-26 16:34:29.291
56.0, -94164.03253841789, -96898.41084461342, -104145.40519063536, -106833.87301371968, -107780.0894117462, -100164.38068918952, -106259.83551261849, -104540.51697737182, -107446.95901238431, -103335.75795123077, -101560.76122054592, -103423.22032728438, -107311.14981307386, -108597.67152043243, -101513.95666765652, -102316.4960523243, 0.0, 0.0, 0.0, 196.0, 126.5, 48.0, 0.0, 10.0, 148.0, 165.0, 0.0, 0.0, 0.0, 1.71943766929982E9, 0.0, 2024-06-26 16:34:29.299
58.0, -94171.9227042106, -96905.25047841674, -104152.84832153897, -106841.1149789232, -107787.33137694972, -100171.71206137087, -106266.585739444, -104548.2283292089, -107458.62662298998, -103344.83275947961, -101567.84672353826, -103423.9132313625, -107325.09730161398, -108609.16031708245, -101529.69229575305, -102325.54850882871, 0.0, 0.0, 0.0, 196.0, 17.5, 112.0, 0.0, 10.0, 148.0, 173.0, 0.0, 0.0, 0.0, 1.719437669307853E9, 0.0, 2024-06-26 16:34:29.307
